"%1, order %2 has been cancelled.","%1, order %2 telah dibatalkan."
The customer address is not valid.,Alamat pelanggan ini tidak berlaku.
Invalid shipping method,Metode pengiriman yang tidak valid
There are more than one shipping addresses.,Ada alamat pengiriman lebih dari satu.
"Sorry, guest checkout is not available.","Maaf, checkout tamu ini tidak tersedia."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Anda harus mengkonfirmasi akun Anda. Silakan periksa email Anda untuk tautan konfirmasi atau <a href=""%1"">klik di sini</a> untuk tautan baru."
Load customer quote error,Kesalahan saat memuat kuotasi pelanggan
Error message!,Pesan kesalahan!
Error!,Kesalahan!
DB exception,Kesalahan DB
Message,Pesan
Print receipt,Cetak tanda terima
Apply Discount Code,Terapkan Kode Diskon
Enter discount code,Masukkan kode diskon
Apply Discount,Terapkan Diskon
Cancel Coupon,Membatalkan kupon
Shopping Cart Items,Item di Keranjang belanja
Item,Barang
Price,Harga
Qty,Jml
Subtotal,Subtotal
Continue Shopping,Lanjutkan Belanja
Clear Shopping Cart,Hapus keranjang belanja
Update Shopping Cart,Memperbarui keranjang belanja
Update Cart,Perbarui Keranjang
See price before order confirmation.,Lihat harga sebelum konfirmasi pesanan.
What's this?,Apa ini?
Edit item parameters,Menyunting parameter item
Edit,Ubah
Remove item,Hapus item
You have no items in your shopping cart.,Anda tidak memiliki barang dalam keranjang belanja Anda.
"Click <a href=""%1"">here</a> to continue shopping.","Klik <a href="" %1 ""> di sini </a> untuk terus berbelanja."
Estimate Tax,Memperkirakan pajak
Estimate Shipping and Tax,Perkiraan pengiriman dan pajak
Excl. Tax,Belum termasuk pajak
Loading...,Pemuatan...
Order #,Pesanan #
Proceed to Checkout,Lanjutkan untuk Checkout
Product Name,Nama Produk
Incl. Tax,Incl. Pajak
Your order number is: %1.,Nomor pesanan anda adalah: %1.
Your order # is: <span>%1</span>.,Pesanan Anda # adalah: <span>%1</span>.
We'll email you an order confirmation with details and tracking info.,Kami akan mengirimkan konfirmasi pesanan melalui email dengan detail dan info pelacakan.
Payment Transaction Failed Reminder,Pengingat Pembayaran Gagal Transaksi
Payment Transaction Failed,Transaksi Pembayaran Gagal
Reason,Alasan
Checkout Type,Cek jenis pengeluaran
Customer:,Pelanggan:
Items,Item
Total:,Total:
Billing Address:,Alamat tagihan:
Shipping Address:,Alamat Pengiriman:
Shipping Method:,Metode pengiriman:
Payment Method:,Metode pembayaran:
Date & Time:,Tanggal Waktu:
Sign In,Masuk
Email Address,Alamat email
Password,Kata sandi
Forgot Your Password?,Lupa kata sandi Anda?
My billing and shipping address are the same,Alamat penagihan dan pengiriman saya sama
Update,Memperbarui
Cancel,Batal
Save in address book,Simpan di buku alamat
Estimated Total,Taksiran Total
You can create an account after checkout.,Anda bisa membuat akun setelah checkout.
You already have an account with us. Sign in or continue as guest.,Anda sudah memiliki akun dengan kami. Masuk atau lanjutkan sebagai tamu.
Login,Masuk
See Details,Lihat Rincian
Options Details,Rincian pilihan
Remove,Hapus
Cart Subtotal,Keranjang Subtotal
Payment Information,Informasi Pembayaran
No Payment method available.,Tidak ada metode pembayaran yang tersedia.
You can track your order status by creating an account.,Anda dapat melacak status pesanan Anda dengan membuat akun.
Place Order,Memesan
Forgot an Item?,Lupa Item?
Edit Your Cart,Edit Keranjang Anda
Ship Here,Kirim disini
Ship To:,Dikirim ke:
edit,edit
Order Summary,Ringkasan pesanan
View and Edit Cart,Lihat dan Edit Keranjang
View Details,Melihat rincian
Field ,Bidang
 is required., dibutuhkan.
Provided Zip/Postal Code seems to be invalid.,Kode Zip / Postal yang Diberikan nampaknya tidak valid.
 Example: , Contoh:
If you believe it is the right one you can ignore this notice.,"Jika Anda yakin itu salah, Anda bisa mengabaikan pemberitahuan ini."
New Address,Alamat baru
Are you sure you would like to remove this item from the shopping cart?,Apakah anda yakin ingin menghapus item ini dari Keranjang belanja?
Review & Payments,Lihat pembayaran
Select a new payment method,Pilih metode pembayaran baru
Shipping,Pengiriman
Save Address,Simpan Alamat
Please specify a shipping method.,Tentukan metode pengiriman.
Checkout Options,Pilihan Checkout
Enable Onepage Checkout,Aktifkan Onsite Checkout
Allow Guest Checkout,Izinkan Tamu Checkout
Display Billing Address On,Alamat Penagihan Display On
Maximum Number of Items to Display in Order Summary,Jumlah Item Maksimum untuk ditampilkan dalam Ringkasan Pesanan
Quote Lifetime (days),(Selamat)
After Adding a Product Redirect to Shopping Cart,Setelah Menambah Pengalihan Produk ke Keranjang Belanja
Number of Items to Display Pager,Jumlah Item ke Display Pager
My Cart Link,Tautan Keranjang saya
Display Cart Summary,Ringkasan Keranjang Belanja
Shopping Cart Sidebar,Daftar Belanja Sidebar
Display Shopping Cart Sidebar,Tampilkan Keranjang Belanja Sidebar
Number of Items to Display Scrollbar,Jumlah Item untuk Menampilkan Scrollbar
Maximum Number of Items to Display,Jumlah Item Maksimum untuk Display
Payment Failed Emails,Email Gagal Pembayaran
Payment Failed Email Sender,Pembayaran Gagal Email Pengirim
Payment Failed Email Receiver,Pembayaran Gagal Email Receiver
Payment Failed Template,Template Gagal Pembayaran
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template email dipilih berdasarkan fallback tema saat opsi ""Default"" dipilih."
Send Payment Failed Email Copy To,Kirim Pembayaran Gagal Email Copy To
"Separate by "","".","Pisahkan dengan "",""."
Send Payment Failed Email Copy Method,Kirimkan Metode Salin Email Gagal Pembayaran
Summary,Ringkasan
Order Total,Jumlah Total Pesanan
Shipping Address,Alamat Pengiriman
We'll send your order confirmation here.,Kami akan mengirimkan konfirmasi pesanan anda disini.
Payment,Pembayaran
Not yet calculated,Belum dihitung
We received your order!,Kami menerima pesanan anda!
Thank you for your purchase!,Terima kasih atas pembelian Anda!
Minimum order amount is %1,Jumlah minimum order adalah %1
"Unable to save address. Please, check input data.","Tidak dapat menyimpan alamat. Silakan, periksa data masukan."
"Unable to save shipping information. Please, check input data.","Tidak dapat menyimpan informasi pengiriman. Silakan, periksa data masukan."
Cart contains virtual product(s) only. Shipping address is not applicable.,Keranjang berisi produk(s) virtual saja. Alamat pengiriman tidak berlaku.
Wrong minimum amount.,Jumlah minimum yang salah.
"<a href=""%1"" onclick=""this.target='_blank'"" class=""print"">Print receipt</a>","<a href="" %1""onclick=""this.target='_blank'"" class=""print""> Tanda terima cetak </a>"
Forgot Password,Lupa kata sandi
Close,Tutup
Go to Checkout,Buka Pemeriksaan
Recently added item(s),Item yang baru saja ditambahkan
View and edit cart,Lihat dan edit keranjang
No Payment Methods,Tidak ada metode pembayaran
Shipping Methods,Metode pengiriman
Select Method,Pilih metode
Method Title,Judul metode
Carrier Title,Titel Kurir
Next,Berikutnya
"Sorry, no quotes are available for this order at this time","Maaf, tidak ada penawaran yang tersedia untuk pesanan ini saat ini"
Item in Cart,Item dalam Keranjang
Items in Cart,Item dalam Keranjang
Require Customer To Be Logged In To Checkout,Memerlukan Pelanggan Ditandai Masuk Untuk Periksa
Maximum Display Recently Added Item(s),Maksimum Tampilan Item (s)
of,dari
Something went wrong while saving the page. Please refresh the page and try again.,Terjadi kesalahan saat menyimpan halaman. Silahkan muat ulang halaman dan coba lagi.
"You added %1 to your <a href=""%2"">shopping cart</a>.","You added %1 to your <a href=""%2"">shopping cart</a>."
Please select at least one product to add to cart,Please select at least one product to add to cart
The quote item isn't found. Verify the item and try again.,The quote item isn't found. Verify the item and try again.
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
The product wasn't found. Verify the product and try again.,The product wasn't found. Verify the product and try again.
A server error stopped your order from being placed. Please try to place your order again.,A server error stopped your order from being placed. Please try to place your order again.
The shipping address is missing. Set the address and try again.,The shipping address is missing. Set the address and try again.
The shipping information was unable to be saved. Verify the input data and try again.,The shipping information was unable to be saved. Verify the input data and try again.
The shipping method can't be set for an empty cart. Add an item to cart and try again.,The shipping method can't be set for an empty cart. Add an item to cart and try again.
Billing Address,Alamat Tagihan
Something went wrong with your request. Please try again later.,Something went wrong with your request. Please try again later.
The shipping method is missing. Select the shipping method and try again.,The shipping method is missing. Select the shipping method and try again.
Show Cross-sell Items in the Shopping Cart,Show Cross-sell Items in the Shopping Cart
Unable to place order. Please try again later.,Tidak dapat melakukan pemesanan. Silakan coba lagi nanti.
Please specify a regionId in shipping address.,Please specify a regionId in shipping address.
Terms and Conditions,Syarat dan ketentuan
Add New Condition,Tambahkan Kondisi Baru
Save Condition,Simpan Kondisi
Delete Condition,Hapus Kondisi
Edit Terms and Conditions,Edit Syarat dan Ketentuan
New Terms and Conditions,Syarat dan Ketentuan Baru
Terms and Conditions Information,Informasi Syarat dan Ketentuan
Condition Name,Nama Kondisi
Status,Subjek
Enabled,Diaktifkan
Disabled,Dinonaktifkan
Show Content as,Tampilkan Konten sebagai
Text,Teks
HTML,HTML
Applied,Terapan
Store View,Tampilan toko
Checkbox Text,Teks kotak centang
Content,Konten
Content Height (css),Tinggi Konten (css)
Content Height,Ketinggian Konten
ID,Id
Condition,Kondisi
Sales,Penjualan
Checkout Conditions,Periksa kondisi
Checkout Terms and Conditions,Syarat dan Ketentuan Checkout
This condition no longer exists.,Kondisi ini sudah tidak ada lagi.
You deleted the condition.,Anda menghapus kondisinya.
Something went wrong  while deleting this condition.,Ada yang tidak beres saat menghapus kondisi ini.
Edit Condition,Edit Kondisi
New Condition,Kondisi baru
You saved the condition.,Anda menyimpan kondisinya.
Something went wrong while saving this condition.,Ada yang tidak beres saat menyimpan kondisi ini.
Automatically,Secara otomatis
Manually,Secara manual
Please agree to all the terms and conditions before placing the order.,Setujui semua persyaratan dan ketentuan sebelum melakukan pemesanan.
Unable to save checkout agreement %1,Tidak dapat menyimpan perjanjian checkout %1
Unable to remove checkout agreement %1,Tidak dapat menghapus perjanjian checkout %1
"Checkout agreement with specified ID ""%1"" not found.","Perjanjian checkout dengan nomor tertentu ""%1"" tidak ditemukan."
Close,Tutup
Terms & Conditions,Syarat & Ketentuan
Enable Terms and Conditions,Aktifkan Persyaratan dan Ketentuan
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"The ""%1"" checkout agreement couldn't be saved.","The ""%1"" checkout agreement couldn't be saved."
"The ""%1"" checkout agreement couldn't be removed.","The ""%1"" checkout agreement couldn't be removed."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again."
Preview mode doesn't allow submitting the order.,Mode pratinjau tidak memungkinkan pengiriman pesanan.
Preview Quote Lifetime (minutes),Preview Quote Lifetime (menit)
The order can't be submitted in preview mode.,The order can't be submitted in preview mode.
Static Blocks,Blok Statisv
Add New Block,Tambahkan Blok Baru
Back,Kembali
Delete Block,Hapus Blokir
Are you sure you want to do this?,Apakah Anda yakin ingin melakukan ini?
Reset,Set ulang
Save and Continue Edit,Simpan dan Lanjutkan Edit
Save Block,Simpan Blokir
ID,Id
Title,Judul
Identifier,Pengenal
Status,Subjek
Disabled,Dinonaktifkan
Enabled,Diaktifkan
Manage Pages,Kelola Laman
Add New Page,Tambah Halaman Baru
Delete Page,Hapus Halaman
Save Page,Simpan halaman
URL Key,Kunci URL
Layout,Layout
Store View,Tampilan toko
Created,Dibuat
Modified,Diubah
Action,Tindakan
Preview,Pratinjau
Media Storage,Penyimpanan media
Create Folder...,buat folder
Delete Folder,Hapus Folder
Delete File,Hapus File
Insert File,Sisipkan File
New Folder Name:,Nama Folder Baru:
Are you sure you want to delete this folder?,Anda yakin ingin menghapus folder ini?
Are you sure you want to delete this file?,Yakin ingin menghapus file ini?
Images (%1),Gambar (%1)
Storage Root,Penyimpanan root
Home,Rumah
Go to Home Page,Buka Halaman Depan
CMS,CMS
You deleted the block.,Anda menghapus bloknya.
We can't find a block to delete.,Kami tidak dapat menemukan blok untuk menghapusnya.
This block no longer exists.,Blok ini sudah tidak ada lagi.
Edit Block,Edit Blokir
New Block,Blok baru
Blocks,Blok
Please correct the data sent.,Perbaiki data yang dikirim.
A total of %1 record(s) have been deleted.,Total %1 Record telah dihapus.
You saved the block.,Anda menyimpan blok itu.
Something went wrong while saving the block.,Ada yang tidak beres saat menyimpan blok itu.
The page has been deleted.,Halaman telah dihapus
We can't find a page to delete.,Kami Tidak Menemukan Laman yang akan dihapus.
This page no longer exists.,Halaman ini sudah tidak ada lagi.
Edit Page,Edit Halaman
New Page,Halaman baru
Pages,halaman
Something went wrong while saving the page.,Ada yang tidak beres saat menyimpan halaman.
A total of %1 record(s) have been disabled.,Total dari %1 record(s) have been disabled.
A total of %1 record(s) have been enabled.,Total dari %1 catatan telah diaktifkan
Page Title,Judul halaman
"To apply changes you should fill in hidden required ""%1"" field","Untuk menerapkan perubahan Anda harus mengisi kolom ""% 1"" yang disembunyikan"
You saved the page.,Anda menyimpan halaman.
Directory %1 is not under storage root path.,Direktori%1 tidak berada di bawah jalur akar penyimpanan.
The directory %1 is not writable by server.,Direktori %1 tidak bisa ditulis oleh server
Make sure that static block content does not reference the block itself.,Pastikan konten blok statis tidak mereferensikan blok itu sendiri.
"CMS Block with id ""%1"" does not exist.","Blok CMS dengan id ""%1"" tidak ada."
Enabled by Default,Diaktifkan oleh Default
Disabled by Default,Dinonaktifkan oleh Default
Disabled Completely,Dinonaktifkan Sepenuhnya
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Pengenal ini dicadangkan untuk ""CMS No Route Page"" dalam konfigurasi."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Pengenal ini dicadangkan untuk ""Halaman Utama CMS"" dalam konfigurasi."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Pengenal ini dicadangkan untuk ""CMS No Cookies Page"" dalam konfigurasi."
Could not save the page: %1,Tidak dapat menyimpan halaman:%1
"CMS Page with id ""%1"" does not exist.","Halaman CMS dengan id ""%1"" tidak ada."
Could not delete the page: %1,Tidak dapat menghapus halaman:%1
A block identifier with the same properties already exists in the selected store.,Pengenal blok dengan properti yang sama sudah ada di toko yang dipilih.
The page URL key contains capital letters or disallowed symbols.,Tombol URL halaman berisi huruf besar atau simbol yang tidak diizinkan.
The page URL key cannot be made of only numbers.,Kunci URL halaman tidak bisa dibuat dari angka saja.
"Please rename the folder using only letters, numbers, underscores and dashes.","Silakan ganti nama folder dengan hanya menggunakan huruf, angka, garis bawah dan garis-garis."
We found a directory with the same name. Please try another folder name.,Kami menemukan sebuah direktori dengan nama yang sama. Silakan coba nama folder yang lain.
We cannot create a new directory.,Kami tidak dapat membuat direktori baru.
We cannot delete directory %1.,Kami tidak dapat menghapus direktori%1.
We can't upload the file right now.,Kami tidak dapat mengunggah berkas sekarang juga.
We can't delete root directory %1 right now.,Kita tidak dapat menghapus direktori root %1 sekarang.
Privacy and Cookie Policy,Kebijakan Privasi dan Cookie
Error message,Pesan eror
LocalizedException,LocalizedException
RuntimeException,RuntimeException
Exception,Kesalahan
Could not create a directory.,Tidak bisa membuat direktori.
Edit,Ubah
Delete,Hapus
Delete %1,Hapus%1
Are you sure you want to delete a %1 record?,Yakin ingin menghapus rekaman%1?
All Store Views,Semua Tampilan Store
View,Melihat
px.,px.
No files found,Tidak ada file yang ditemukan
Browse Files...,Mencari berkas...
Collapse All,Tutup Semua
Expand All,Melebarkan semua
We could not detect a size.,Kami tidak bisa mendeteksi ukurannya.
Media Gallery,Galeri media
Content Management,Manajemen Konten
CMS Home Page,Halaman CMS
CMS No Route Page,CMS No Route PageCMS No Route Page
CMS No Cookies Page,CMS No Cookies Page
Show Breadcrumbs for CMS Pages,Tampilkan Breadcrumbs untuk CMS Pages
Browser Capabilities Detection,Kemampuan Browser Deteksi
Redirect to CMS-page if Cookies are Disabled,Alihkan ke CMS-page jika Cookies Disabled
Show Notice if JavaScript is Disabled,Tampilkan Pemberitahuan jika JavaScript dinonaktifkan
Show Notice if Local Storage is Disabled,Tampilkan Pemberitahuan jika Penyimpanan Lokal Dinonaktifkan
WYSIWYG Options,Pilihan WYSIWYG
Enable WYSIWYG Editor,Aktifkan Editor WYSIWYG
CMS Page Link,Tautan Laman CMS
Link to a CMS Page,Tautkan ke Halaman CMS
CMS Page,CMS
Select Page...,Pilih Halaman...
Anchor Custom Text,Anchor Custom Text
"If empty, the Page Title will be used","Jika kosong, Judul Halaman akan digunakan"
Anchor Custom Title,Judul Jabatan Jangkar
Template,Template
CMS Page Link Block Template,CMS Page Link Blok Template
CMS Page Link Inline Template,CMS Page Link Template Inline
CMS Static Block,Blok Statis CMS
Contents of a Static Block,Isi dari Blok Statis
Block,Blok
Select Block...,Pilih Blokir...
CMS Static Block Default Template,Template Default Default CMS
General Information,Informasi Umum
Enable Block,Aktifkan Blokir
Block Title,Judul blok
Are you sure you want to delete selected items?,Yakin ingin menghapus item yang dipilih?
Delete items,Hapus item
Page Information,Informasi halaman
Enable Page,Aktifkan Halaman
Content,Konten
Content Heading,Pos Konten
Search Engine Optimization,Optimisasi Mesin Pencari
Meta Title,Judul Meta
Meta Keywords,Kata sandi Meta
Meta Description,Deskripsi meta
Page in Websites,Halaman di Situs Web
Design,Desain
Layout Update XML,Layout Update XML
Custom Design Update,Update Desain Kustom
From,Dari
To,Ke
New Theme,Tema baru
-- Please Select --,-- Silahkan pilih --
New Layout,Tata Letak Baru
Disable,Nonaktifkan
Enable,Memungkinkan
Custom design from,Desain khusus dari
Custom design to,Desain khusus untuk
Custom Theme,Tema Kustom
Custom Layout,Tata Letak Khusus
Edit Block '%1',Edit Blokir ' %1 '
Block Information,Informasi blok
Edit Page '%1',Edit Halaman ' %1 '
Page Layout,Tata letak halaman
Custom Design,Desain Kustom
Custom Design From,Desain Kustom Dari
Custom Design To,Desain Kustom Untuk
Custom Layout Update XML,Custom Layout Update XML
Relative to Web Site Base URL,Sehubungan dengan URL Situs Web Base
Page Status,Status halaman
Meta Data,Meta Data
Keywords,Kata kunci
Description,Deskripsi
You saved this page.,Anda menyimpan halaman ini.
Could not create directory.,Tidak bisa membuat direktori.
Delete ${ $.$data.title },Hapus ${$. $Data.title}
Are you sure you wan't to delete a ${ $.$data.title } record?,Yakin ingin menghapus data $ {$. $ Data.title} ?
Details,Rincian
"Delete ""${ $.$data.title }""","Hapus ""${$.$ Data.title}"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Yakin ingin menghapus rekaman ""${ $.$Data.title }""?"
Are you sure you wan't to delete selected items?,Apakah Anda yakin tidak menghapus item yang dipilih?
File validation failed.,File validation failed.
Are you sure you wan't to delete a %1 record?,Are you sure you wan't to delete a %1 record?
Search Engine Optimisation,Search Engine Optimization
Save,Menyimpan
Save & Duplicate,Simpan & Gandakan
Save & Close,Simpan & Tutup
Cancel,Batal
Delete Selected,Delete Selected
Create Folder,Buat Folder
Add Selected,Tambah yang terpilih
You duplicated the block.,You duplicated the block.
You duplicated the page.,You duplicated the page.
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.,The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.
The page URL key can't use only numbers. Add letters or words and try again.,The page URL key can't use only numbers. Add letters or words and try again.
Upload Images,Unggah gambar
TinyMCE 4,TinyMCE 4
Default Page Layout,Default Page Layout
WYSIWYG Editor,Editor WYSIWYG
"""identifiers"" of CMS blocks should be specified","""identifiers"" of CMS blocks should be specified"
"""Page id should be specified","""Page id should be specified"
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
This block no longer exists.,Blok ini sudah tidak ada lagi.
Future Update in this time range already exists. Select a different range to add a new Future Update.,Update Masa Depan di rentang waktu ini sudah ada. Pilih rentang yang berbeda untuk menambahkan Update Masa Depan yang baru.
Error,Kesalahan
Currently Active,Sedang aktif
New Theme,Tema baru
-- Please Select --,-- Silahkan pilih --
Scheduled Changes,Perubahan terjadwal
Name,Nama
Description,Deskripsi
Action,Tindakan
Update Information,Update Informasi
Schedule Update,Jadwal Update
Update Name,Perbarui nama
Start Date,Tanggal Mulai
End Date,Tanggal akhir
General Information,Informasi Umum
Enable Block,Aktifkan Blokir
Block Title,Judul blok
Identifier,Pengenal
Store View,Tampilan toko
Save as a New Update,Simpan sebagai Update Baru
Move to Another Update,Pindah ke Update Lain
Delete the Update,Hapus Pembaruan
The block will be removed from the update and all scheduled changes will be lost.,Blokir akan dihapus dari update dan semua perubahan terjadwal akan hilang.
200,200
100,100
50,50
30,30
20,20
Start Time,Waktu mulai
End Time,Waktu Selesai
Remove CMS page from Update,Hapus halaman CMS dari Update
Enable Page,Aktifkan Halaman
Page Title,Judul halaman
Content,Konten
Content Heading,Pos Konten
Search Engine Optimisation,Search Engine Optimization
URL Key,Kunci URL
Meta Keywords,Kata sandi Meta
Meta Description,Deskripsi meta
Page in Websites,Halaman di Situs Web
Design,Desain
Layout,Layout
Layout Update XML,Layout Update XML
The page will be removed from the update and all scheduled changes will be lost.,Halaman akan dihapus dari update dan semua perubahan terjadwal akan hilang.
CMS Pages,Halaman CMS
CMS Blocks,Blok CMS
ID,Id
Title,Judul
Status,Subjek
Remove CMS block from Campaign,Hapus blok CMS dari Kampanye
Move to Another Campaign,Pindah ke Kampanye Lain
Deleting the update will remove the block from this campaign and all scheduled changes will be lost.,Menghapus pembaruan akan menghapus blok dari kampanye ini dan semua perubahan terjadwal akan hilang.
Remove CMS page from Campaign,Hapus halaman CMS dari Kampanye
Deleting the update will remove the page from this campaign and all scheduled changes will be lost.,Menghapus pembaruan akan menghapus halaman dari kampanye ini dan semua perubahan terjadwal akan hilang.
Remove CMS Page from Campaign,Remove CMS Page from Campaign
Remove CMS Block from Campaign,Remove CMS Block from Campaign
Future Update already exists in this time range. Set a different range and try again.,Future Update already exists in this time range. Set a different range and try again.
Delete Customer,Hapus Pelanggan
Back,Kembali
Delete Company,Delete Company
Reset,Set ulang
Save,Menyimpan
Save & Close,Simpan & Tutup
Companies,Companies
Add New Company,Add New Company
(me),(me)
Company Name:,Company Name:
Company Legal Name:,Company Legal Name:
Company Email:,Company Email:
VAT/TAX ID:,VAT/TAX ID:
Re-seller ID:,Re-seller ID:
Street Address:,Street Address:
City:,City:
Country:,Country:
State/Province:,State/Province:
ZIP/Postal Code:,ZIP/Postal Code:
Phone Number:,Phone Number:
Job Title:,Job Title:
Email Address:,Alamat Email:
Prefix:,Prefix:
First Name:,Nama depan:
Middle Name/Initial:,Middle Name/Initial:
Last Name:,Nama Belakang:
Suffix:,Suffix:
Gender:,Gender:
Duplicated,Duplicated
Company Structure,Company Structure
Page not found.,Halaman tidak ditemukan.
Something went wrong.,Ada sesuatu yang salah.
New Company,New Company
Thank you! We're reviewing your request and will contact you soon,Thank you! We're reviewing your request and will contact you soon
An error occurred on the server. Your changes have not been saved.,An error occurred on the server. Your changes have not been saved.
Incorrect CAPTCHA,Captcha yang salah
Create New Company,Create New Company
A total of %1 record(s) were updated.,Sebanyak %1 rekaman(s) telah diperbarui.
Something went wrong. Please try again later.,Something went wrong. Please try again later.
"Invalid value of ""%value"" provided for the email field.","Invalid value of ""%value"" provided for the email field."
"Invalid value ""%value"" given for the website ID field.","Invalid value ""%value"" given for the website ID field."
You have deleted company %companyName.,You have deleted company %companyName.
The company no longer exists.,The company no longer exists.
The requested company is not found,The requested company is not found
Please correct the data sent.,Perbaiki data yang dikirim.
can not be saved,can not be saved
A total of %1 record(s) were deleted.,Sebanyak %1 record(s) telah dihapus.
Could not save company,Could not save company
You have saved company %companyName.,You have saved company %companyName.
You have created company %companyName.,You have created company %companyName.
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","A user with this email address already exists in the system. If you proceed, the user will be linked to your company."
A user with this email address is already a member of your company.,A user with this email address is already a member of your company.
A user with this email address already exists in the system. Enter a different email address to create this user.,A user with this email address already exists in the system. Enter a different email address to create this user.
You are not allowed to do this.,You are not allowed to do this.
Cannot create the customer.,Cannot create the customer.
The customer was successfully created.,The customer was successfully created.
You cannot delete yourself.,You cannot delete yourself.
Cannot delete this user.,Cannot delete this user.
The customer was successfully deleted.,The customer was successfully deleted.
The customer was successfully updated.,The customer was successfully updated.
Company Profile,Company Profile
The changes you made on the company profile have been successfully saved.,The changes you made on the company profile have been successfully saved.
You must fill in all required fields before you can continue.,You must fill in all required fields before you can continue.
Bad Request,Bad Request
You have deleted role %companyRoleName.,Anda telah menghapus wewenang %companyRoleName.
Add New Role,Tambahkan Wewenang Baru
Edit Role,Ubah Wewenang
Roles and Permissions,Wewenang dan Izin
The tree retrieved successfully.,The tree retrieved successfully.
The item was successfully moved.,The item was successfully moved.
The team was successfully deleted.,The team was successfully deleted.
The team was successfully updated.,The team was successfully updated.
The team was successfully created.,The team was successfully created.
Company Users,Company Users
A customer with the same email already assigned to company.,A customer with the same email already assigned to company.
Active,Aktif
Pending Approval,Pending Approval
Rejected,Ditolak
Blocked,Blocked
The company admin cannot be moved to a different location in the company structure.,The company admin cannot be moved to a different location in the company structure.
A user or a team cannot be moved under itself.,A user or a team cannot be moved under itself.
A user or a team cannot be moved under its child user or team.,A user or a team cannot be moved under its child user or team.
The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.,The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.
Unable to move customer structure.,Unable to move customer structure.
Cannot delete company with id %1,Cannot delete company with id %1
No company admin email is specified in request.,No company admin email is specified in request.
No company admin website ID is specified in request.,No company admin website ID is specified in request.
No such entity with id = %idValue,No such entity with id = %idValue
The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.,The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.
You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.,You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.
Invalid attribute value. Cannot change company for a company admin.,Invalid attribute value. Cannot change company for a company admin.
Company admin,Company admin
Company user,Company user
Individual user,Individual user
Inactive,Tidak aktif
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny""."
Invalid login or password.,Login atau kata sandi tidak benar.
This account is locked.,Akun ini terkunci.
"Your account is not yet approved. If you have questions, please contact the seller.","Your account is not yet approved. If you have questions, please contact the seller."
There was an error saving custom attributes.,There was an error saving custom attributes.
"Invalid value of ""%value"" provided for the %fieldName field.","Nilai ""nilai%"" tidak valid diberikan untuk bidang %fieldName."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
No such entity with %fieldName = %fieldValue,Tidak ada entitas dengan %fieldName = %fieldValue
This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.,Wewenang ini tidak dapat dihapus karena pengguna telah ditetapkan kepadanya. Tetapkanlah pengguna tersebut ke wewenang lain untuk melanjutkan.
You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.,Anda tidak dapat menghapus sebuah wewenang ketika dia adalah satu-satunya di perusahaan ini. Anda harus membuat wewenang lain sebelum menghapus ini.
User role with this name already exists. Enter a different name to save this role.,Wewenang pengguna dengan nama ini sudah ada. Masukkan nama yang berbeda untuk menyimpannya.
Cannot delete role with id %1,Tidak dapat menghapus wewenang dengan id %1
Type %1 is not an instance of %2,Tipe %1 tidak inten dari %2
"The selected user is inactive. To continue, select another user or activate the current user.","The selected user is inactive. To continue, select another user or activate the current user."
This customer is a user of a different company. Enter a different email address to continue.,This customer is a user of a different company. Enter a different email address to continue.
Company with this email address already exists in the system. Enter a different email address to continue.,Company with this email address already exists in the system. Enter a different email address to continue.
